"PGM_SYS_ACRNM","PGM_SYS_ID","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC","STATE_CODE"
"RCRAINFO","SCD982171241","34.930683","-81.887739","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987591864","34.836998","-82.295436","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD086368958","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD084712918","34.472837","-81.888022","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD036296200","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD987572070","34.211161","-79.776319","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD990704470","33.807805","-79.02046","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD981927189","33.497895","-81.95209","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD982076929","34.318512","-79.444234","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD078047321","34.971801","-81.992109","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000002337","34.685154","-80.952997","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD981747512","38.514886","-81.630804","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000075820","34.204608","-80.028344","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000791293","34.236946","-81.468217","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
